Account Number,Tax Lot ID,Ticker,CUSIP,Security Name,Asset Type,Sector,Purchase Date,Quantity,Cost Basis,Total Cost,Trade Fees,Current Price,Market Value,Unrealized Gain/Loss,Currency
ACC-001,,KMI,49456B101,Kinder Morgan Inc.,Equity,Energy,2018-11-22,250,,,,$19.00,$4,750.00,,USD
ACC-001,LOT-002,AAPL,037833100,Apple Inc.,Equity,Technology,2019-11-01,500,$65.00,$32,500.00,$7.95,$198.00,$99,000.00,$66,500.00,USD
ACC-001,LOT-003,NEM,651639106,Newmont Corporation,Equity,Commodities,2018-10-10,100,$33.00,$3,300.00,,42,$4,200.00,$900.00,USD
ACC-001,LOT-004,MMM,88579Y101,3M Co.,Equity,Industrials,2019-12-12,40,$170,$6,800.00,,$105,$4,200.00,-$2,600.00,USD
ACC-001,LOT-005,SCCO,84265V105,Southern Copper Corp,Equity,Commodities,2019-03-20,150,$35.00,$5,250.00,,90,$13,500.00,$8,250.00,USD
ACC-001,LOT-006,GOOG,02079K305,Alphabet Incorporated,Equity,Technology,2018-10-28,40,$1,050.00,$42,000.00,,$1,350.00,$54,000.00,$12,000.00,USD
ACC-001,,BA,097023105,Boeing Co.,Equity,Industrials,2018-09-11,50,$190,$9,500.00,,$185,$9,250.00,-$250.00,USD
ACC-001,LOT-008,SLV,46428Q109,iShares Silver Tr.,ETF,Commodities,2021-08-12,3200,$19.50,$62,400.00,$7.95,$24.50,$78,400.00,$16,000.00,USD
ACC-001,LOT-009,GDX,92189F106,VanEck Gold Miners,ETF,Commodities,2022-06-01,300,$28.00,$8,400.00,$4.95,$32.00,$9,600.00,$1,200.00,USD
ACC-001,,BLK,09247X101,BlackRock Inc,Equity,Financials,2018-06-12,20,$380.00,$7,600.00,,$780.00,$15,600.00,$8,000.00,USD
ACC-001,LOT-011,FCX,35671D857,Freeport-McMoRan Inc,Equity,Commodities,2021-11-01,200,$34.00,$6,800.00,,$52.00,$10,400.00,$3,600.00,USD
ACC-001,LOT-012,DE,244199105,Deere & Company,Equity,Industrials,2020-02-20,25,$160.00,$4,000.00,,$370.00,$9,250.00,$5,250.00,USD
ACC-001,LOT-013,V,92826C839,Visa Inc.,Equity,Financials,2018-04-03,50,$115.00,$5,750.00,,$285.00,$14,250.00,$8,500.00,USD
ACC-001,,HAL,406216101,Halliburton Co,Equity,Energy,2018-12-07,300,$22.00,$6,600.00,,$37.00,$11,100.00,$4,500.00,USD
ACC-001,LOT-015,UNP,907818108,Union Pacific,Equity,Industrials,2021-03-15,25,$190.00,$4,750.00,$4.95,$235.00,$5,875.00,$1,125.00,USD
ACC-001,,META,30303M102,Meta Platforms,Equity,Technology,2020-06-15,100,$175.00,$17,500.00,,$245.00,$24,500.00,$7,000.00,USD
ACC-001,LOT-017,BAC,060505104,Bank of America Corp.,Equity,Financials,2020-11-09,1,000,$24.00,$24,000.00,,$30.50,$30,500.00,$6,500.00,USD
ACC-001,,CAT,149123101,Caterpillar Inc.,Equity,Industrials,2021-01-10,40,$140.00,$5,600.00,,$260.00,$10,400.00,$4,800.00,USD
ACC-001,LOT-019,PYPL,70450Y103,PayPal Hldgs,Equity,Financials,2020-09-21,80,$180.00,$14,400.00,$4.95,$68.00,$5,440.00,-$8,960.00,USD
ACC-001,LOT-020,MMM,88579Y101,3M Company,Equity,Industrials,2019-12-12,20,$170.00,$3,400.00,,$105.00,$2,100.00,-$1,300.00,USD
ACC-001,,UPS,911312106,United Parcel Svc,Equity,Industrials,2023-09-10,40,$160.00,$6,400.00,$4.95,$180.00,$7,200.00,$800.00,USD
ACC-001,LOT-022,NVDA,67066G104,NVIDIA Corp.,Equity,Technology,2018-09-15,80,$55.00,$4,400.00,,$120.00,$9,600.00,$5,200.00,USD
